Recipe Name,Ingredients,Preperation Steps,Vegan Friendly (Yes/No),Nut-Free (Yes/No),Non-Dairy Friendly (Yes/No),Vegan Substitute,Dairy Substitute,Nut Substitute,Dietary Tags,Source URL
Strawberry-Orange,"10 frozen strawberries, 1 cup yogurt, 1/2 cup orange juice, 1/2 teaspoon sugar","1. In a food processor or blender, process all the ingredients until smooth.",No,Yes,No,coconut milk,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/strawberry-orange-smoothie
Blueberry-Mango,"3/4 cup yogurt, 3/4 cup whole milk, 3/4 cup blueberries, 3/4 cup mangos, 1 tablespoon honey, 1 splash vanilla extract","1. Add all ingredients to a blender. 2. Process until the mixture is completely smooth. 3. If the smoothie is too thick, add additional milk. 4. Pour and serve immediately.",No,Yes,No,coconut milk; sugar,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/blueberry-mango-smoothie
Avocado-Coconut,"2 avocados, 3 cups coconut milk, 3 cups mangos","1. In a food processor or blender, process all the ingredients until smooth.",Yes,Yes,Yes,,,,Vegan; Nut-Free; Non-Dairy,https://recipes.heart.org/en/recipes/avocado-and-coconut-refresher-smoothie
Blueberry,"2 cups peaches, 2 cups spinach, 1 cup blueberries, 1 cup whole milk, 1 teaspoon honey","1. In a food processor or blender, process all the ingredients until smooth, about 1 to 2 minutes, stopping to scrape down the mixture if necessary. 2. Pour into glasses. ",No,Yes,No,coconut milk; honey,coconut milk,,Nut-Free,https://recipes.heart.org/en/recipes/bluey-smoothie
Peanut Butter,"1 bananas, 1/2 cup whole milk, 1/4 cup yogurt, 1 1/2 tablespoons peanut butter",1. Put all of the ingredients into a blender and blend until smooth.,No,No,No,coconut milk,coconut milk,sunflower seed butter,,https://www.foodnetwork.com/recipes/ellie-krieger/peanut-butter-split-smoothie-recipe-1957586
Berry-Beet,"2 cups mixed berries, strawberries and raspberries, 1 beets, 1 tablespoon lemon juice, 2 teaspoons coconut oil","1. Put the berries, 1/2 cup cold water, beet, lemon juice, honey and coconut oil into a blender. 2. Blend on high until smooth, turning off the blender and pushing down on the ingredients with a spatula or wooden spoon as needed to help the blending process. 3. Add 1 to 2 tablespoons more water if needed to adjust consistency.",Yes,Yes,Yes,,,,Vegan; Nut-Free; Non-Dairy,https://www.foodnetwork.com/recipes/food-network-kitchen/red-berry-and-beet-smoothie-3362663
Watermelon-Cucumber,"1/2 cup cucumbers, 3 tablespoons whole milk, 1 tablespoon honey, 1/2 lime juice, 2 cups watermelons","1. Put the cucumber, buttermilk, honey if using and lime juice into a blender. 2. Blend on high until smooth. 3. Add half of the frozen watermelon and blend until almost completely smooth, turning off the blender and pushing down on the ingredients with a spatula or wooden spoon as needed to help the blending process. 4. Add the remaining frozen watermelon and continue to blend until smooth. 5. Add 1 to 2 tablespoons of water if needed to adjust consistency. 6. Pour into a glass and garnish with a cucumber slice.",No,Yes,No,coconut milk; sugar,coconut milk,,Nut-Free,https://www.foodnetwork.com/recipes/food-network-kitchen/watermelon-and-cucumber-smoothie-3363159
Tomato-Watermelon,"1/2 cup tomatoes, 3/4 cup watermelon, 1/2 strawberries, 2 basil leaves, 1 tablespoon honey",1. Blend ingredients in a blender until smooth. 2. Pour into a glass and garnish with a watermelon wedge.,No,Yes,Yes,sugar,,,Nut-Free; Non-Dairy,https://www.foodnetwork.com/healthyeats/recipes/a-year-of-smoothie-recipes
Lime-in-the-Coconut,"2 teaspoons lime juice, 1 bananas, up coconut milk, 1 cup spinach, 1 tablespoon honey",1. Blend ingredients in a blender until smooth. 2. Pour into a glass and garnish with an umbrella straw.,No,Yes,Yes,sugar,,,Nut-Free; Non-Dairy,https://www.fitlivingeats.com/smoothie-recipe-lime-in-the-coconut/
Carrot,"1 cup carrots, 1 cup orange juice","1. In a covered small saucepan, cook carrots in a small amount of boiling water about 15 minutes or until very tender. 2. Drain well. 3. Cool. 4. Place drained carrots in a blender. 5. Add orange juice. 6. Cover and blend until smooth. 7. Add ice cubes; cover and blend until smooth. 8. Pour into glasses.",Yes,Yes,Yes,,,,,https://www.eatingwell.com/recipe/259625/carrot-smoothie/